GeneA,GeneB
O00232,P61289
O00232,P61956
O00232,P62158
O00232,P62191
O00232,P62195
O00232,P62333
O00232,P63165
O00232,Q00341
O00232,Q06323
O00232,Q13151
O00232,Q13200
O00232,Q13501
O00232,Q14164
O00232,Q14315
O00232,Q14318
O00232,Q15008
O00232,Q5VYK3
O00232,Q8IXJ6
O00232,Q96GF1
O00232,Q99436
O00232,Q99460
O00232,Q99496
O00232,Q9BRP4
O00232,Q9NRC8
O00232,Q9NYU2
O00232,Q9P0J7
O00232,Q9UET6
O00232,Q9UNM6
O00232,Q9Y2K6
O00232,Q9Y3C5
O00232,Q9Y4K3
O00232,Q9Y5K5
O00232,Q9Y5U4
O00232,Q9Y6E0
O00233,O14810
O00233,O60260
O00233,O95400
O00233,O95817
O00233,P06737
O00233,P07237
O00233,P0C0S5
O00233,P0CG48
O00233,P11802
O00233,P11940
O00233,P15923
O00233,P16455
O00233,P17858
O00233,P17980
O00233,P24941
O00233,P25490
O00233,P31943
O00233,P46926
O00233,P52597
O00233,P60981
O00233,P61024
O00233,P62333
O00233,P63279
O00233,Q13309
O00233,Q15717
O00233,Q6IBS0
O00233,Q8NFZ5
O00233,Q8WVJ2
O00233,Q96SD1
O00233,Q9HCM9
O00233,Q9NQW7
O00233,Q9NYL9
O00233,Q9Y2J4
O00237,P0CG48
O00237,P51668
O00237,P51965
O00237,P55072
O00237,P61077
O00237,P61088
O00237,P62256
O00237,P62837
O00237,P68036
O00237,Q96B02
O00237,Q96LR5
O00237,Q9BUN8
O00237,Q9H832
O00237,Q9Y2X8
O00238,B9EHI3
O00238,O14544
O00238,O15105
O00238,O43541
O00238,O60383
O00238,O75995
O00238,O94921
O00238,O95630
O00238,O95747
O00238,O95972
O00238,P05067
O00238,P06404
O00238,P0CG48
O00238,P10114
O00238,P11802
O00238,P12643
O00238,P12644
O00238,P13805
O00238,P15882
O00238,P18075
O00238,P22004
O00238,P36894
O00238,P36897
O00238,P43026
O00238,P48454
O00238,P57729
O00238,P57735
O00238,P61962
O00238,P61963
O00238,P62070
O00238,P62826
O00238,P62979
O00238,P67775
O00238,P98170
O00238,Q04323
O00238,Q13145
O00238,Q13153
O00238,Q13501
O00238,Q13873
O00238,Q14D04
O00238,Q15052
O00238,Q15714
O00238,Q16671
O00238,Q58WW2
O00238,Q5T6F0
O00238,Q6KF10
O00238,Q6P3X3
O00238,Q7Z4P3
O00238,Q7Z6B7
O00238,Q86TG7
O00238,Q8N653
O00238,Q8N6C5
O00238,Q8TAI7
O00238,Q8TDR2
O00238,Q96AE7
O00238,Q96B97
O00238,Q96D21
O00238,Q9CQ33
O00238,Q9H4E5
O00238,Q9H5K3
O00238,Q9H832
O00238,Q9HCE7
O00238,Q9NR64
O00238,Q9NRW1
O00238,Q9NW38
O00238,Q9NYN1
O00238,Q9NYS0
O00238,Q9UF11
O00238,Q9UNE7
O00238,Q9UNH7
O00238,Q9Y4K3
O00241,O00241
O00241,O43914
O00241,P0CG48
O00241,P43405
O00244,O00244
O00244,P0CG48
O00244,P35670
O00244,Q02790
O00244,Q04656
O00253,P32245
O00253,P33032
O00253,P41968
O00253,Q9UBU3
O00254,P00519
O00254,P00734
O00254,P06241
O00254,P08311
O00254,P0CG48
O00254,P12931
O00254,P16333
O00254,P19174
O00254,P33151
O00254,P46108
O00254,P57087
O00254,P62993
O00254,Q8NI35
O00254,Q96RI0
O00254,Q9BX67
O00254,Q9H8V3
O00254,Q9Y624
O00255,O00409
O00255,O14686
O00255,O14757
O00255,O15205
O00255,O75475
O00255,O75530
O00255,P01106
O00255,P03372
O00255,P04637
O00255,P08670
O00255,P0CG48
O00255,P10242
O00255,P10644
O00255,P11142
O00255,P14136
O00255,P15884
O00255,P15923
O00255,P15927
O00255,P17535
O00255,P19544
O00255,P19838
O00255,P21675
O00255,P24928
O00255,P27694
O00255,P30876
O00255,P34932
O00255,P35222
O00255,P35244
O00255,P35579
O00255,P46940
O00255,P51610
O00255,P55196
O00255,P61964
O00255,P62805
O00255,P68431
O00255,P84022
O00255,Q00653
O00255,Q03164
O00255,Q04206
O00255,Q13547
O00255,Q14814
O00255,Q15291
O00255,Q15797
O00255,Q16695
O00255,Q6FI13
O00255,Q8N2W9
O00255,Q8WUI4
O00255,Q92769
O00255,Q96ST3
O00255,Q99717
O00255,Q9BXW9
O00255,Q9H4W6
O00255,Q9NQW6
O00255,Q9NS64
O00255,Q9P0U4
O00255,Q9UBL3
O00255,Q9UBU7
O00255,Q9UNE7
O00255,Q9Y5Z7
O00257,O15050
O00257,O15205
O00257,O43463
O00257,O60315
O00257,O75530
O00257,O75592
O00257,O95503
O00257,P04908
O00257,P05161
O00257,P06400
O00257,P06748
O00257,P09874
O00257,P0CG48
O00257,P12757
O00257,P19784
O00257,P31946
O00257,P33778
O00257,P35226
O00257,P35227
O00257,P35520
O00257,P37840
O00257,P48431
O00257,P51784
O00257,P52739
O00257,P56545
O00257,P61289
O00257,P61956
O00257,P61978
O00257,P62258
O00257,P62805
O00257,P63104
O00257,P63165
O00257,P67870
O00257,P68400
O00257,P68431
O00257,P78347
O00257,P78364
O00257,P84243
O00257,Q01826
O00257,Q02224
O00257,Q03164
O00257,Q06587
O00257,Q13363
O00257,Q13642
O00257,Q14781
O00257,Q16665
O00257,Q16695
O00257,Q3KNV8
O00257,Q58WW2
O00257,Q5M9N0
O00257,Q63HN8
O00257,Q71DI3
O00257,Q8IWI9
O00257,Q8IXK0
O00257,Q8IYB7
O00257,Q8N448
O00257,Q8NDX5
O00257,Q93009
O00257,Q96GD3
O00257,Q99496
O00257,Q9BYE7
O00257,Q9H0J9
O00257,Q9H2X6
O00257,Q9H3R0
O00257,Q9HC52
O00257,Q9NWA0
O00257,Q9P0L1
O00257,Q9P2P5
O00257,Q9UGL1
O00257,Q9UIS9
O00257,Q9UPS8
O00257,Q9Y4C1
O00257,Q9Y6K1
O00258,P0CG48
O00258,Q16656
O00264,O15503
O00264,O43567
O00264,O60739
O00264,P07550
O00264,P08684
O00264,P0CG48
O00264,P10632
O00264,P11441
O00264,P15927
O00264,P16035
O00264,P16435
O00264,P22392
O00264,P23508
O00264,P24941
O00264,P27694
O00264,P27824
O00264,P28288
O00264,P29372
O00264,P30480
O00264,P31943
O00264,P35244
O00264,P39656
O00264,P40337
O00264,P48039
O00264,P51572
O00264,P60866
O00264,P84103
O00264,Q00839
O00264,Q12770
O00264,Q12906
O00264,Q13177
O00264,Q13618
O00264,Q14164
O00264,Q14318
O00264,Q15005
O00264,Q71F23
O00264,Q86Y56
O00264,Q92616
O00264,Q92905
O00264,Q9BUP0
O00264,Q9H1Y0
O00264,Q9H9B4
O00264,Q9Y3D7
O00264,Q9Y4K3
O00267,O00469
O00267,O14744
O00267,O43719
O00267,O60563
O00267,O60583
O00267,O75534
O00267,O95219
O00267,O95405
O00267,P02545
O00267,P02751
O00267,P07900
O00267,P0CG48
O00267,P12956
O00267,P13010
O00267,P13984
O00267,P16104
O00267,P19022
O00267,P19387
O00267,P21281
O00267,P22102
O00267,P22234
O00267,P24928
O00267,P42858
O00267,P43246
O00267,P48431
O00267,P50613
O00267,P50750
O00267,P51813
O00267,P51946
O00267,P51948
O00267,P52701
O00267,P53992
O00267,P54274
O00267,P57059
O00267,P61457
O00267,P61956
O00267,P61978
O00267,P62917
O00267,P62937
O00267,P63272
O00267,P68400
O00267,Q01105
O00267,Q12789
O00267,Q12905
O00267,Q12907
O00267,Q13123
O00267,Q13526
O00267,Q13618
O00267,Q14697
O00267,Q15637
O00267,Q16643
O00267,Q58WW2
O00267,Q66LE6
O00267,Q6GVN4
O00267,Q6X4W1
O00267,Q86X55
O00267,Q8GW25
O00267,Q8LD15
O00267,Q8LPF1
O00267,Q8WX92
O00267,Q92561
O00267,Q92769
O00267,Q95HA6
O00267,Q96IT1
O00267,Q96JK9
O00267,Q96KM6
O00267,Q99496
O00267,Q99728
O00267,Q99873
O00267,Q9BWW4
O00267,Q9FHM4
O00267,Q9H5J0
O00267,Q9H6Z4
O00267,Q9NRC8
O00267,Q9NRX1
O00267,Q9NSD9
O00267,Q9NZ63
O00267,Q9P0U0
O00267,Q9P2H0
O00267,Q9UH65
O00267,Q9UHR5
O00267,Q9UMR5
O00267,Q9UMX5
O00267,Q9UQE7
O00267,Q9Y3C7
O00267,Q9Y3Z3
O00267,Q9Y6K9
O00268,O75486
O00268,O95402
O00268,P05412
O00268,P08047
O00268,P13984
O00268,P16220
O00268,P17544
O00268,P20226
O00268,P21675
O00268,P35869
O00268,P42858
O00268,P45973
O00268,P49848
O00268,P52655
O00268,P52657
O00268,P62380
O00268,Q03060
O00268,Q12962
O00268,Q13185
O00268,Q15542
O00268,Q15543
O00268,Q15544
O00268,Q15545
O00268,Q15717
O00268,Q16514
O00268,Q16594
O00268,Q16656
O00268,Q16695
O00268,Q5VWG9
O00268,Q6P1X5
O00268,Q7Z7C8
O00268,Q8IZX4
O00268,Q92830
O00268,Q99081
O00268,Q9H0E3
O00268,Q9HBM6
O00268,Q9NRD1
O00268,Q9Y4A5
O00273,B0QYK1
O00273,O15067
O00273,O76075
O00273,P04406
O00273,P07437
O00273,P0CG48
O00273,P10144
O00273,P12277
O00273,P13584
O00273,P14866
O00273,P17812
O00273,P23508
